bbl,building,old_bin,new_bin,reason
1006160054.0,One Jackson Square,1000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
5079660001.0,Pier 55,nan,N/A,PUBLIC_SPACE_AUTO_FIX
3019180065.0,Flushing Meadows Corona Park,nan,N/A,PUBLIC_SPACE_AUTO_FIX
4020180001.0,Unisphere,4000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
3001120100.0,280 Cadman Plaza West,nan,N/A,PUBLIC_SPACE_AUTO_FIX
5079660001.0,1 Prospect Park West,nan,N/A,PUBLIC_SPACE_AUTO_FIX
2056500001.0,0,2000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
1003720064.0,Bethesda Terrace,1000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
5030680001.0,Battery Weed,5000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
3011830026.0,0,3000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
2031200020.0,"Paul J. Rainey Memorial Gates, New York Zoological Park",2000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
1021360300.0,0,1000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
1021490525.0,0,1000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
3064180001.0,0,3000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
3064840002.0,0,3000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
1021780003.0,Jeffrey's Hook Lighthouse,1000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
1000120028.0,0,1000000.0,N/A,PUBLIC_SPACE_AUTO_FIX
